Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-07,05:00:00,93.2058,289.446,109.979,1.32738,80.1487
701,28,35,-46.62007,-23.49629,2024-09-07,06:00:00,92.3529,289.315,90.4610,1.33960,81.3344
701,28,35,-46.62007,-23.49629,2024-09-07,07:00:00,83.6598,290.213,32.2980,1.29643,92.3465
701,28,35,-46.62007,-23.49629,2024-09-07,08:00:00,69.3906,293.055,110.135,1.36615,87.6225
701,28,35,-46.62007,-23.49629,2024-09-07,09:00:00,56.3618,296.247,243.141,0.723817,97.0231
701,28,35,-46.62007,-23.49629,2024-09-07,10:00:00,41.9869,299.539,421.558,0.466013,302.682
701,28,35,-46.62007,-23.49629,2024-09-07,11:00:00,31.4150,303.207,1266.98,2.97426,333.126
701,28,35,-46.62007,-23.49629,2024-09-07,12:00:00,26.5312,304.536,1989.29,3.06003,326.707
701,28,35,-46.62007,-23.49629,2024-09-07,13:00:00,23.1835,305.340,2833.02,2.71074,322.086
701,28,35,-46.62007,-23.49629,2024-09-07,14:00:00,20.9309,305.836,3163.63,1.94074,300.511
701,28,35,-46.62007,-23.49629,2024-09-07,15:00:00,19.5203,306.110,3296.03,1.88830,256.066
701,28,35,-46.62007,-23.49629,2024-09-07,16:00:00,19.1570,306.134,3351.72,1.20969,273.372
701,28,35,-46.62007,-23.49629,2024-09-07,17:00:00,19.6004,305.942,3225.54,0.828618,269.789
701,28,35,-46.62007,-23.49629,2024-09-07,18:00:00,23.2197,304.299,3211.85,0.684684,215.658
701,28,35,-46.62007,-23.49629,2024-09-07,19:00:00,27.7171,303.726,487.520,2.06560,107.385
701,28,35,-46.62007,-23.49629,2024-09-07,20:00:00,29.7119,303.092,351.896,4.10659,34.2754
701,28,35,-46.62007,-23.49629,2024-09-07,21:00:00,31.5606,301.719,200.464,3.99798,25.6450
701,28,35,-46.62007,-23.49629,2024-09-07,22:00:00,34.7530,300.912,226.328,3.44949,27.5581
701,28,35,-46.62007,-23.49629,2024-09-07,23:00:00,38.0039,299.931,252.063,2.93624,50.3199
701,28,35,-46.62007,-23.49629,2024-09-08,00:00:00,42.2907,298.707,177.865,2.02066,74.9170
701,28,35,-46.62007,-23.49629,2024-09-08,01:00:00,48.2268,297.661,153.740,2.05622,91.5028
701,28,35,-46.62007,-23.49629,2024-09-08,02:00:00,51.6215,296.646,121.615,1.85838,93.1103
701,28,35,-46.62007,-23.49629,2024-09-08,03:00:00,52.7910,296.072,125.026,2.17658,84.0926
701,28,35,-46.62007,-23.49629,2024-09-08,04:00:00,53.6588,295.327,106.728,1.73750,79.5514
701,28,35,-46.62007,-23.49629,2024-09-08,05:00:00,54.8122,294.823,57.7237,1.80188,85.6339
701,28,35,-46.62007,-23.49629,2024-09-08,06:00:00,55.0448,294.539,46.9108,1.86095,97.7591
701,28,35,-46.62007,-23.49629,2024-09-08,07:00:00,48.3925,295.354,30.4767,1.84490,83.2845
701,28,35,-46.62007,-23.49629,2024-09-08,08:00:00,38.6980,298.406,134.976,2.31402,61.2462
701,28,35,-46.62007,-23.49629,2024-09-08,09:00:00,32.8753,301.440,466.726,2.47738,47.2461
701,28,35,-46.62007,-23.49629,2024-09-08,10:00:00,29.4831,303.163,823.828,2.62185,44.5550
701,28,35,-46.62007,-23.49629,2024-09-08,11:00:00,25.8170,304.274,2289.21,2.09571,66.1954
701,28,35,-46.62007,-23.49629,2024-09-08,12:00:00,22.8060,305.100,2776.92,2.68484,76.8391
701,28,35,-46.62007,-23.49629,2024-09-08,13:00:00,21.7180,305.573,2850.21,3.37577,82.5422
701,28,35,-46.62007,-23.49629,2024-09-08,14:00:00,21.8486,305.878,2921.04,3.74822,73.5062
701,28,35,-46.62007,-23.49629,2024-09-08,15:00:00,23.1194,305.822,2763.73,3.65301,74.7289
701,28,35,-46.62007,-23.49629,2024-09-08,16:00:00,25.7840,305.789,2797.43,3.84561,72.8232
701,28,35,-46.62007,-23.49629,2024-09-08,17:00:00,26.3443,305.224,2582.23,4.47079,104.746
701,28,35,-46.62007,-23.49629,2024-09-08,18:00:00,26.4864,304.198,722.736,5.47845,110.942
701,28,35,-46.62007,-23.49629,2024-09-08,19:00:00,30.0337,302.911,170.074,4.02926,98.3105
701,28,35,-46.62007,-23.49629,2024-09-08,20:00:00,32.6003,301.765,572.677,3.19327,79.7005
701,28,35,-46.62007,-23.49629,2024-09-08,21:00:00,33.2321,300.900,541.707,3.63145,73.1803
701,28,35,-46.62007,-23.49629,2024-09-08,22:00:00,36.4283,299.856,164.719,3.40419,65.6840
701,28,35,-46.62007,-23.49629,2024-09-08,23:00:00,42.0183,298.452,95.5226,2.82685,60.5822
701,28,35,-46.62007,-23.49629,2024-09-09,00:00:00,45.7082,297.448,87.9448,2.85581,59.5768
701,28,35,-46.62007,-23.49629,2024-09-09,01:00:00,47.3133,296.514,87.5751,2.84369,60.2161
701,28,35,-46.62007,-23.49629,2024-09-09,02:00:00,48.7057,295.860,262.134,3.31870,69.2803
701,28,35,-46.62007,-23.49629,2024-09-09,03:00:00,50.4133,295.156,226.865,3.10426,74.0715
701,28,35,-46.62007,-23.49629,2024-09-09,04:00:00,51.6627,294.293,195.985,2.41248,75.2941
701,28,35,-46.62007,-23.49629,2024-09-09,05:00:00,53.3825,293.608,166.871,2.03857,78.6732
701,28,35,-46.62007,-23.49629,2024-09-09,06:00:00,54.4130,292.911,118.086,1.02008,89.7400
701,28,35,-46.62007,-23.49629,2024-09-09,07:00:00,50.5483,293.794,36.5679,1.30706,89.7893
701,28,35,-46.62007,-23.49629,2024-09-09,08:00:00,41.3654,295.930,133.911,1.32662,86.0438
